favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
10471,Twitter for iPhone,Sharing some glimpses from the wonderful cultural programme at the DGPs/IGPs Conference at Kevadia. https://t.co/PAmswEx8NH,,False,Fri Dec 21 16:45:57 +0000 2018,2144,1076156831276417028
37348,Twitter for Android,"I would specially urge you all to visit Kevadia and see the ‘Statue of Unity.’ 

Some friends told me that the Stat… https://t.co/o197FnmvIe",,False,Fri Dec 21 05:27:32 +0000 2018,6959,1075986101519740930
15683,Twitter Web Client,"Haryana trusts BJP! 

I thank the people of Haryana for continuously reposing their faith in @BJP4Haryana.

We deri… https://t.co/16bR6sAn4r",,False,Wed Dec 19 14:23:44 +0000 2018,3800,1075396266480168960
11814,Twitter for Android,Reached Kevadia in Gujarat for the Conference of DGPs/IGPs. Looking forward to fruitful deliberations that will str… https://t.co/hl0Eozi0nW,,False,Fri Dec 21 05:23:38 +0000 2018,2195,1075985121071849473
8860,Periscope,Addressing the National Convention of @BJP4India Mahila Morcha. Watch. https://t.co/kgbdBqzk06,,False,Sat Dec 22 11:56:40 +0000 2018,2050,1076446421660819456
14606,Twitter for iPhone,"During the Conference of DGPs and IGPs, I’ve also got the opportunity to meet select groups of officials and discus… https://t.co/zXwR4p0bkV",,False,Fri Dec 21 16:41:42 +0000 2018,2528,1076155762148282368
13989,Twitter Web Client,"Had an excellent interaction with newly elected Sarpanches of Panchayats from across Jammu and Kashmir. 

Wished th… https://t.co/mIKjGEcn7r",,False,Wed Dec 19 14:27:26 +0000 2018,2758,1075397199167508480
11075,Twitter for iPhone,It’s been a productive day at the Conference of DGPs/IGPs in Kevadia. We’ve been having detailed presentations on v… https://t.co/LrNzTLXXIu,,False,Fri Dec 21 16:40:55 +0000 2018,2050,1076155563816427522
5648,Twitter Web Client,"Will be interacting with @BJP4TamilNadu and @BJP4Puducherry Karyakartas at 4:30 this evening.

Watch the interactio… https://t.co/O3kGxPPDYj",,False,Wed Dec 19 08:19:08 +0000 2018,1318,1075304512661839872
7840,Twitter Web Client,These elected Sarpanches are extraordinary individuals who have shown immense courage in the face of heavy odds.… https://t.co/u5ULmrkmcv,,False,Wed Dec 19 14:28:24 +0000 2018,1752,1075397438914015232
9420,Twitter Web Client,"I commend the @BJP4Haryana team for assiduously working for people's welfare. 

Under the leadership of Shri… https://t.co/tHDI7n9S4o",,False,Wed Dec 19 14:24:16 +0000 2018,2292,1075396400974770176
18000,Twitter for iPhone,"Do you have an idea for this month’s #MannKiBaat on the 30th? 

Share it on the MyGov Open Forum. 

You can also di… https://t.co/v51XlJTcVg",,False,Thu Dec 20 02:54:52 +0000 2018,3533,1075585296765476870
26573,Twitter for Android,"Chennai based Dr S Jayachandran is a hero. His was a life purely for the betterment of others. 
https://t.co/CVlJiFmPZ7",,False,Fri Dec 21 11:55:42 +0000 2018,6365,1076083789145681922
11516,Twitter Web Client,The high voter turnout in the polls clearly displays immense faith that people of J&amp;K have put in grass root democr… https://t.co/xrKNkDuYUD,,False,Wed Dec 19 14:29:03 +0000 2018,2341,1075397604056297472
14628,Twitter for iPhone,"With the passing away of Dipali Barthakur Ji, we have lost an outstanding singer who made Assamese music and cultur… https://t.co/5YJnmtGTpL",,False,Fri Dec 21 12:03:05 +0000 2018,2877,1076085646584963072
17690,Twitter for Android,"Paid tributes to the great Sardar Patel at the ‘Statue of Unity.’ 

As India’s Home Minister, his contribution towa… https://t.co/ssFGTYIzcM",,False,Fri Dec 21 05:25:41 +0000 2018,3328,1075985636451123201
13068,Periscope,Having an interesting interaction with BJP Karyakartas based in Tamil Nadu and Puducherry. Watch. https://t.co/paDaTQaj5k,,False,Wed Dec 19 11:15:30 +0000 2018,2770,1075348895020896258
